Data,Mandante,Hor/Res,Visitante,Liga,Fase,Unnamed: 6,Torneio,Campo
2026-05-16 14:00:00,Uberlândia Lobos,14 - 09,Cruzeiro FA,,,,campeonato-mineiro-2026,
2026-05-16 14:00:00,Uberlândia Lobos,14 - 09,Cruzeiro FA,,,,campeonato-mineiro-2026,
2026-06-13 10:00:08,Vasco Almirantes,18 - 17,Tubarões do Cerrado,,,,campeonato-mineiro-2026,
2026-05-16 14:00:00,Uberlândia Lobos,14 - 09,Cruzeiro FA,,,,campeonato-mineiro-2026,
2026-06-13 10:00:08,Vasco Almirantes,18 - 17,Tubarões do Cerrado,,,,campeonato-mineiro-2026,
2026-06-13 14:00:00,Locomotiva FA,48 - 00,Cruzeiro FA,,,,campeonato-mineiro-2026,
2026-05-16 14:00:00,Uberlândia Lobos,14 - 09,Cruzeiro FA,,,,campeonato-mineiro-2026,
2026-06-13 10:00:08,Vasco Almirantes,18 - 17,Tubarões do Cerrado,,,,campeonato-mineiro-2026,
2026-06-13 14:00:00,Locomotiva FA,48 - 00,Cruzeiro FA,,,,campeonato-mineiro-2026,
2026-06-14 14:00:00,Galo FA,60 - 00,Uberlândia Lobos,,,,campeonato-mineiro-2026,
2026-05-16 14:00:00,Uberlândia Lobos,14 - 09,Cruzeiro FA,,,,campeonato-mineiro-2026,
2026-06-13 10:00:08,Vasco Almirantes,18 - 17,Tubarões do Cerrado,,,,campeonato-mineiro-2026,
2026-06-13 14:00:00,Locomotiva FA,48 - 00,Cruzeiro FA,,,,campeonato-mineiro-2026,
2026-06-14 14:00:00,Galo FA,60 - 00,Uberlândia Lobos,,,,campeonato-mineiro-2026,
2026-06-28 15:00:00,Locomotiva FA,36 - 03,Galo FA,,,,campeonato-mineiro-2026,
2026-03-15 10:00:00,Moura Lacerda Dragons,25 - 06,Corinthians Steamrollers,SPFL Diamante,,,spfl-2026,
2026-03-15 10:00:00,São José Jets,14 - 00,Krakens Football,SPFL Ouro,,,spfl-2026,
2026-03-15 10:00:00,Assis Captains,00 - 38,Franca Carrascos,SPFL Ouro,,,spfl-2026,
2026-03-15 14:00:00,Guarulhos Rhynos,49 - 00,Tatuapé Monsters,SPFL Diamante,,,spfl-2026,
2026-03-15 14:00:00,Vikings Berserker,21 - 51,Caniballs Football,SPFL Ouro,,,spfl-2026,
2026-03-15 14:00:00,Avaré Lions,07 - 20,Guarás FA,SPFL Ouro,,,spfl-2026,
2026-03-22 10:00:00,Black Panthers Football,06 - 30,Spartans Football 2,SPFL Prata,,,spfl-2026,
2026-03-22 10:00:00,Caraguá Ghostship,18 - 00,Corinthians Steamrollers 2,SPFL Prata,,,spfl-2026,
2026-03-22 14:00:00,Ocelots FA,37 - 00,Guarani Indians,SPFL Diamante,,,spfl-2026,
2026-03-22 14:00:00,Vikings FA,07 - 14,Spartans Football,SPFL Diamante,,,spfl-2026,
2026-03-22 14:00:00,Jacareí Red Wolves,00 - 36,Ponte Preta Gorilas,SPFL Prata,,,spfl-2026,
2026-03-29 10:00:00,Taubaté Football,43 - 07,Vikings Berserker,SPFL Ouro,,,spfl-2026,
2026-03-29 10:00:00,Guarás FA,07 - 28,Franca Carrascos,SPFL Ouro,,,spfl-2026,
2026-03-29 10:00:00,Guarulhos Rhynos 2,00 - 06,Piracicaba Cane Cutters,SPFL Prata,,,spfl-2026,
2026-03-29 14:00:00,Guarulhos Rhynos,42 - 00,Corinthians Steamrollers,SPFL Diamante,,,spfl-2026,
2026-03-29 14:00:00,Moura Lacerda Dragons,40 - 07,Tatuapé Monsters,SPFL Diamante,,,spfl-2026,
2026-03-29 14:00:00,São José Jets,21 - 14,Caniballs Football,SPFL Ouro,,,spfl-2026,
2026-03-29 14:00:00,Avaré Lions,06 - 42,Empyreo Leme Lizards,SPFL Ouro,,,spfl-2026,
2026-04-05 10:00:00,Vikings FA,38 - 14,Guarani Indians,SPFL Diamante,,,spfl-2026,
2026-04-05 14:00:00,Ocelots FA,07 - 42,Spartans Football,SPFL Diamante,,,spfl-2026,
2026-04-12 10:00:00,Guarulhos Rhynos,09 - 10,Moura Lacerda Dragons,SPFL Diamante,,,spfl-2026,
2026-04-12 10:00:00,Krakens Football,42 - 06,Vikings Berserker,SPFL Ouro,,,spfl-2026,
2026-04-12 14:00:00,Assis Captains,20 - 38,Avaré Lions,SPFL Ouro,,,spfl-2026,
2026-04-12 14:00:00,Guarás FA,00 - 38,Empyreo Leme Lizards,SPFL Ouro,,,spfl-2026,
2026-04-12 14:00:00,Taubaté Football,07 - 03,São José Jets,SPFL Ouro,,,spfl-2026,
2026-04-19 10:00:00,Black Panthers Football,07 - 33,Guarulhos Rhynos 2,SPFL Prata,,,spfl-2026,
2026-04-19 10:00:00,Caraguá Ghostship,24 - 25,Ponte Preta Gorilas,SPFL Prata,,,spfl-2026,
2026-04-19 10:00:00,Spartans Football 2,15 - 14,Piracicaba Cane Cutters,SPFL Prata,,,spfl-2026,
2026-04-19 14:00:00,Corinthians Steamrollers,10 - 43,Tatuapé Monsters,SPFL Diamante,,,spfl-2026,
2026-04-19 14:00:00,Ocelots FA,25 - 18,Vikings FA,SPFL Diamante,,,spfl-2026,
2026-04-19 14:00:00,Spartans Football,49 - 00,Guarani Indians,SPFL Diamante,,,spfl-2026,
2026-04-26 10:00:00,Assis Captains,13 - 40,Guarás FA,SPFL Ouro,,,spfl-2026,
2026-04-26 14:00:00,Krakens Football,00 - 31,Caniballs Football,SPFL Ouro,,,spfl-2026,
